index,x_cm,y_cm,yaw_rad,yaw_deg,direction,steer_deg
0,77.0,32.0,0.7338289123721942,42.04529956360224,1,0.0
1,79.22784668256116,34.009153841546535,0.7338289123721942,42.04529956360224,1,0.0
2,81.45569336512233,36.01830768309307,0.7338289123721942,42.04529956360224,1,0.0
3,83.6835400476835,38.027461524639605,0.7338289123721942,42.04529956360224,1,0.0
4,85.91138673024466,40.03661536618614,0.7338289123721942,42.04529956360224,1,0.0
5,88.13923341280582,42.045769207732675,0.7338289123721942,42.04529956360224,1,0.0
6,90.36708009536699,44.05492304927921,0.7338289123721942,42.04529956360224,1,0.0
7,92.59492677792815,46.064076890825746,0.7338289123721942,42.04529956360224,1,0.0
8,94.82277346048932,48.07323073237228,0.7338289123721942,42.04529956360224,1,0.0
9,97.05062014305048,50.082384573918816,0.7338289123721942,42.04529956360224,1,0.0
10,99.27846682561164,52.09153841546535,0.7338289123721942,42.04529956360224,1,0.0
11,101.50631350817281,54.100692257011886,0.7338289123721942,42.04529956360224,1,0.0
12,103.73416019073397,56.10984609855842,0.7338289123721942,42.04529956360224,1,0.0
13,105.96200687329514,58.118999940104956,0.7338289123721942,42.04529956360224,1,0.0
14,108.1898535558563,60.12815378165149,0.7338289123721942,42.04529956360224,1,0.0
15,110.41770023841747,62.137307623198026,0.7338289123721942,42.04529956360224,1,0.0
16,112.64554692097863,64.14646146474456,0.7338289123721942,42.04529956360224,1,0.0
17,114.8733936035398,66.15561530629114,0.7338289123721942,42.04529956360224,1,0.0
18,117.10124028610096,68.16476914783772,0.7338289123721942,42.04529956360224,1,0.0
19,119.32908696866212,70.1739229893843,0.7338289123721942,42.04529956360224,1,0.0
20,121.55693365122329,72.18307683093087,0.7338289123721942,42.04529956360224,1,0.0
21,123.78478033378445,74.19223067247745,0.7338289123721942,42.04529956360224,1,0.0
22,126.01262701634562,76.20138451402403,0.7338289123721942,42.04529956360224,1,0.0
23,128.24047369890678,78.2105383555706,0.7338289123721942,42.04529956360224,1,0.0
24,130.46832038146795,80.21969219711718,0.7338289123721942,42.04529956360224,1,0.0
25,132.6961670640291,82.22884603866376,0.7338289123721942,42.04529956360224,1,0.0
26,134.92401374659028,84.23799988021034,0.7338289123721942,42.04529956360224,1,0.0
27,136.91795529004247,86.47184601951159,0.9503352633183031,54.45019971059253,1,29.999999999999996
28,138.38547382446612,89.08187682467441,1.1668416142644116,66.85509985758277,1,29.999999999999996
29,139.56464728167393,91.84041809821319,1.1668416142644116,66.85509985758277,1,0.0
30,140.74382073888174,94.59895937175197,1.1668416142644116,66.85509985758277,1,0.0
31,141.92299419608955,97.35750064529076,1.1668416142644116,66.85509985758277,1,0.0
32,143.10216765329736,100.11604191882954,1.1668416142644116,66.85509985758277,1,0.0
33,143.97474153855126,102.98038936066486,1.38334796521052,79.26000000457303,1,29.999999999999996
34,144.21162839737795,105.96531081170689,1.5998543161566285,91.66490015156329,1,29.999999999999996
35,143.80176746583203,108.9314337811011,1.816360667102737,104.06980029855355,1,29.999999999999996
36,142.7642960444658,111.74026352008923,2.0328670180488455,116.47470044554379,1,29.999999999999996
37,141.42688823865282,114.42565741316162,2.0328670180488455,116.47470044554379,1,0.0
38,140.08948043283985,117.111051306234,2.0328670180488455,116.47470044554379,1,0.0
39,138.75207262702688,119.79644519930639,2.0328670180488455,116.47470044554379,1,0.0
40,137.4146648212139,122.48183909237878,2.0328670180488455,116.47470044554379,1,0.0
41,136.07725701540093,125.16723298545116,2.0328670180488455,116.47470044554379,1,0.0
42,134.73984920958796,127.85262687852355,2.0328670180488455,116.47470044554379,1,0.0
43,133.402441403775,130.53802077159594,2.0328670180488455,116.47470044554379,1,0.0
