index,x_cm,y_cm,yaw_rad,yaw_deg,direction
115,144.0,114.0,1.5707963267948966,90.0,1
116,144.0,115.0,1.5707963267948966,90.0,1
117,144.0,116.0,1.5707963267948966,90.0,1
118,144.0,117.0,1.5707963267948966,90.0,1
119,144.0,118.0,0.7853981633974483,45.0,1
120,145.0,119.0,1.5707963267948966,90.0,1
121,145.0,120.0,0.7853981633974483,45.0,1
122,146.0,121.0,1.5707963267948966,90.0,1
123,146.0,122.0,1.5707963267948966,90.0,1
124,146.0,123.0,0.7853981633974483,45.0,1
125,147.0,124.0,1.5707963267948966,90.0,1
126,147.0,125.0,0.7853981633974483,45.0,1
127,148.0,126.0,1.5707963267948966,90.0,1
128,148.0,127.0,0.7853981633974483,45.0,1
129,149.0,128.0,1.5707963267948966,90.0,1
130,149.0,129.0,0.7853981633974483,45.0,1
131,150.0,130.0,1.5707963267948966,90.0,1
132,150.0,131.0,0.7853981633974483,45.0,1
133,151.0,132.0,1.5707963267948966,90.0,1
134,151.0,133.0,1.5707963267948966,90.0,1
135,151.0,134.0,0.7853981633974483,45.0,1
136,152.0,135.0,1.5707963267948966,90.0,1
137,152.0,136.0,0.7853981633974483,45.0,1
138,153.0,137.0,1.5707963267948966,90.0,1
139,153.0,138.0,0.7853981633974483,45.0,1
140,154.0,139.0,1.5707963267948966,90.0,1
141,154.0,140.0,0.7853981633974483,45.0,1
142,155.0,141.0,1.5707963267948966,90.0,1
143,155.0,142.0,1.5707963267948966,90.0,1
144,155.0,143.0,0.7853981633974483,45.0,1
145,156.0,144.0,0.7853981633974483,45.0,1
