index,x_cm,y_cm,yaw_rad,direction
0,168.0,129.0,-2.4521787849,1
1,167.60859379675472,128.68891381891567,-2.4878930706142857,1
2,167.2063293292438,128.39200183502365,-2.5236073563285717,1
3,166.79371963536474,128.10964272233636,-2.5593216420428573,1
4,166.37129094705426,127.84219659450343,-2.595035927757143,1
5,165.93958201914555,127.5900045455319,-2.6307502134714285,1
6,165.499143442254,127.35338821476358,-2.6664644991857145,1
7,165.05053694056775,127.13264937666438,-2.7021787849,1
8,164.59433465543918,126.9280695559489,-2.7378930706142857,1
9,164.13111841569005,126.73990966853079,-2.7736073563285712,1
10,163.66147899556194,126.56840968875737,-2.8093216420428573,1
11,163.18601536125783,126.41378834335235,-2.845035927757143,1
12,162.70533390703565,126.2762428324573,-2.8807502134714285,1
13,162.22004768182848,126.15594857812766,-2.9164644991857145,1
14,161.73077560737755,126.0530590006039,-2.9521787849,1
15,161.23814168887512,125.96770532264308,-2.9878930706142857,1
16,160.74277421912393,125.89999640216095,-3.0236073563285712,1
17,160.2453049772288,125.85001859339704,-3.0593216420428573,1
18,159.7463684228414,125.81783563678087,-3.095035927757143,1
19,159.2466008869865,125.80348857763892,-3.1307502134714285,1
20,158.7466397605015,125.80699571384646,3.1167208079938717,1
21,158.24712268112444,125.82835257249094,3.081006522279586,1
22,157.75309198750367,125.86710707300796,3.0456083583998437,1
23,157.255393465963,125.91502556271953,3.0456083583998437,1
24,156.75769494442235,125.9629440524311,3.0456083583998437,1
25,156.34538798908608,126.0026410290991,3.0456083583998437,1
26,155.84865086042208,126.0594358616737,3.009894072685558,1
27,155.35425845042508,126.13393131749393,2.9741797869712725,1
28,154.86284129463328,126.22603238694515,2.938465501256987,1
29,154.3750261340213,126.33562160665974,2.9027512155427004,1
30,153.89143511567042,126.46255920932688,2.867036929828415,1
31,153.412684999298,126.6066833019482,2.8313226441141293,1
32,152.93938637065784,126.767810072312,2.7956083583998437,1
33,152.47214286281454,126.94573402342273,2.759894072685558,1
34,152.01155038628536,127.14022823558658,2.7241797869712725,1
35,151.5581963690308,127.35104465581918,2.688465501256987,1
36,151.1126590072641,127.57791441420602,2.6527512155427004,1
37,150.67550652803436,127.8205481668123,2.617036929828415,1
38,150.24729646452417,128.07863646470497,2.5813226441141293,1
39,149.828574944986,128.35185014861588,2.5456083583998437,1
40,149.41987599622402,128.6398407687433,2.509894072685558,1
41,149.02172086250982,128.94224102915587,2.4741797869712725,1
42,148.63461734080087,129.25866525623252,2.438465501256987,1
43,148.25905913310893,129.5887098905409,2.4027512155427004,1
44,147.89552521684524,129.9319540015268,2.3670369298284157,1
45,147.5444792339446,130.2879598243582,2.3313226441141293,1
46,147.20636889954858,130.65627331823964,2.2956083583998437,1
47,146.884440025,131.0330093315,2.2602101955,1
48,146.5679547207435,131.42009724424034,2.2561806713361503,1
49,146.251469416487,131.8071851569807,2.2561806713361503,1
50,145.93498411223052,132.19427306972102,2.2561806713361503,1
51,145.61849880797402,132.58136098246138,2.2561806713361503,1
52,145.30201350371752,132.9684488952017,2.2561806713361503,1
53,144.98552819946102,133.35553680794206,2.2561806713361503,1
54,144.66904289520454,133.7426247206824,2.2561806713361503,1
55,144.35255759094804,134.12971263342274,2.2561806713361503,1
56,144.03607228669154,134.51680054616307,2.2561806713361503,1
57,143.71958698243503,134.9038884589034,2.2561806713361503,1
58,143.40310167817853,135.29097637164375,2.2561806713361503,1
59,143.08661637392206,135.67806428438408,2.2561806713361503,1
60,142.77013106966555,136.06515219712443,2.2561806713361503,1
61,142.45364576540905,136.45224010986476,2.2561806713361503,1
62,142.13716046115255,136.83932802260512,2.2561806713361503,1
63,141.82067515689604,137.22641593534544,2.2561806713361503,1
64,141.50418985263957,137.61350384808577,2.2561806713361503,1
65,141.18770454838307,138.00059176082613,2.2561806713361503,1
66,140.87121924412656,138.38767967356645,2.2561806713361503,1
67,140.55473393987006,138.7747675863068,2.2561806713361503,1
68,140.2382486356136,139.16185549904714,2.2561806713361503,1
69,139.92176333135708,139.5489434117875,2.2561806713361503,1
70,139.60527802710058,139.93603132452782,2.2561806713361503,1
71,139.28879272284408,140.32311923726817,2.2561806713361503,1
72,138.97230741858758,140.7102071500085,2.2561806713361503,1
73,138.6558221143311,141.09729506274883,2.2561806713361503,1
74,138.3393368100746,141.48438297548918,2.2561806713361503,1
75,138.0228515058181,141.8714708882295,2.2561806713361503,1
76,137.7063662015616,142.25855880096987,2.2561806713361503,1
77,137.3898808973051,142.6456467137102,2.2561806713361503,1
78,137.07339559304862,143.03273462645055,2.2561806713361503,1
79,136.7569102887921,143.41982253919087,2.2561806713361503,1
80,136.4404249845356,143.80691045193123,2.2561806713361503,1
81,136.1239396802791,144.19399836467156,2.2561806713361503,1
82,135.80745437602263,144.58108627741188,2.2561806713361503,1
83,135.49096907176613,144.96817419015224,2.2561806713361503,1
84,135.17448376750963,145.35526210289257,2.2561806713361503,1
85,134.85799846325313,145.74235001563292,2.2561806713361503,1
86,134.54151315899662,146.12943792837325,2.2561806713361503,1
87,134.22502785474015,146.5165258411136,2.2561806713361503,1
88,133.90854255048365,146.90361375385393,2.2561806713361503,1
89,133.59205724622714,147.29070166659426,2.2561806713361503,1
90,133.27557194197064,147.67778957933461,2.2561806713361503,1
91,132.95908663771417,148.06487749207497,2.2561806713361503,1
92,132.64260133345766,148.4519654048153,2.2561806713361503,1
93,132.32611602920116,148.83905331755562,2.2561806713361503,1
94,132.00963072494466,149.22614123029598,2.2561806713361503,1
